Gate_1,Gate_2,Delay,θ1,θ2
0,0,0,-0.585976393244035,0.5957621587331022
0,1,0,0.026213317829650584,-0.12334709112041164
0,2,0,-0.005084151190269462,-0.020857586882051728
1,0,0,0.07333076909184319,-0.027393265622982842
1,1,0,1.817173863150704,1.3080762521266793
1,2,0,-0.003599533983557534,1.513164456773245
2,0,0,0.0634566404852151,-0.041331504900298695
2,1,0,0.5076813283127372,-0.014616344918775226
2,2,0,0.9216678156862498,0.5564480501898794
0,0,1000,1.5546637943057946,1.5680337813171603
0,1,1000,0.10460299260075076,0.0075173140088008
0,2,1000,0.009055671639486229,0.6678308566806365
1,0,1000,0.048297781810524396,0.07922299522248313
1,1,1000,2.84984191814636,0.21574517583156674
1,2,1000,-0.03840521930949013,1.6652471370124635
2,0,1000,1.9996148850650275,-0.07318989544156318
2,1,1000,0.44492573205937,-0.03418100399707947
2,2,1000,-0.21363410655409304,2.3439445864621433
0,0,2000,-0.5001006918228786,0.44242335648584613
0,1,2000,-0.04942520190943356,0.09218939501644509
0,2,2000,0.008024131053066555,0.2923517191851147
1,0,2000,-0.058430274271649846,-0.1042549069246879
1,1,2000,0.3711229222472681,-0.3254301712003481
1,2,2000,-0.010275468173756444,0.1422680897701018
2,0,2000,0.47011458694825164,0.002353797528549147
2,1,2000,1.8934823020024605,-0.018271242907136085
2,2,2000,0.2939133498391517,0.06616403318475976
0,0,3000,2.6403965086950274,0.4643036179247946
0,1,3000,0.07246186133774193,-0.14081573821455248
0,2,3000,0.07061171406418516,0.2939661788171383
1,0,3000,0.00914041017857113,-0.06253529823818714
1,1,3000,1.3647988375088622,1.772510292528012
1,2,3000,0.011155195484968615,-0.1808803814148754
2,0,3000,0.19546947746930557,0.027053491987870236
2,1,3000,1.430249704373769,-0.08252665523517369
2,2,3000,1.6778228132771422,1.3889202529509175
0,0,4000,1.3598676023931673,1.8475262824133554
0,1,4000,0.02472465094662227,0.021218762617981026
0,2,4000,-0.08890216626261693,0.26925192574555634
1,0,4000,-0.10835014167069998,-0.06937268438098576
1,1,4000,1.6587003095922574,1.5551222382055143
1,2,4000,0.05045995504226705,1.8979464540534348
2,0,4000,-0.12010323969615146,0.08799917007071076
2,1,4000,0.528942682832877,-0.01599954014650343
2,2,4000,0.7110240009293265,1.0314524693515221
0,0,5000,0.09105420085382716,-0.1537893264658854
0,1,5000,-0.14389907080207875,-0.01422929833218847
0,2,5000,0.004591960453063953,0.7575026994581611
1,0,5000,0.010393603782376517,0.028071038295186375
1,1,5000,-0.1291241634479358,0.20101147218683724
1,2,5000,0.07689004889391081,0.9377375735984661
2,0,5000,1.355749051343153,0.0056933488545660264
2,1,5000,-0.14442390660118642,-0.04490873702808818
2,2,5000,1.7064861989186872,0.07107883099385419
0,0,6000,1.0850484110536318,1.8679349010181057
0,1,6000,-0.020843942188066338,0.02512433905962889
0,2,6000,0.08548614228775309,2.1066924259581064
1,0,6000,0.07515898197330469,0.08877173260109568
1,1,6000,1.6689693166288473,1.490288781045182
1,2,6000,-0.035717227419155895,0.054127783106636365
2,0,6000,1.6288684015145611,0.09042843703946679
2,1,6000,0.8082869317214905,-0.11818672789942838
2,2,6000,1.4546023461646385,-0.23011745649261564
0,0,7000,1.5449079891449977,1.6414793042367937
0,1,7000,0.0514669368298229,0.0612107978611812
0,2,7000,-0.08430591679129543,1.3038496524873098
1,0,7000,0.14388161692413642,0.06866814091121155
1,1,7000,1.5792797444797986,1.4353901803011637
1,2,7000,-0.03997494499781382,1.515559148931556
2,0,7000,0.2478855136316833,-0.05481820890431672
2,1,7000,1.4996674241244272,-0.11091022119494476
2,2,7000,1.3645928380466164,0.11229873007491836
0,0,8000,0.26782550847832143,-0.2620240963900586
0,1,8000,-0.05213907541081158,0.014387483022250283
0,2,8000,0.0742272300772148,1.7712968829662514
1,0,8000,-0.03407999074232761,0.012930513042468358
1,1,8000,1.856069392983444,1.2796410334733705
1,2,8000,0.011783686301843125,0.35484686261000414
2,0,8000,0.48172953173031774,0.03645062475249884
2,1,8000,0.3797408023748072,-0.025849007818865417
2,2,8000,0.08229449301742528,0.003008738920295877
0,0,9000,-0.05167328609710263,-0.07478695756525097
0,1,9000,-0.17169375155196906,-0.12563627324334356
0,2,9000,-0.0020742565724853473,0.8016470894573533
1,0,9000,0.16091800982370666,-0.032066975735873825
1,1,9000,0.17889444934444063,-0.21517397446987457
1,2,9000,-0.013939551179168203,1.4729540448571703
2,0,9000,1.4796610577796554,0.18190995381244002
2,1,9000,1.3125571718153386,0.07242856809108948
2,2,9000,2.826690427697632,0.3475372270405425
0,0,10000,-0.492091421948279,0.4123369056681796
0,1,10000,0.07993842987904877,0.01717898386301923
0,2,10000,0.11239822141486162,1.3035503865229912
1,0,10000,-0.050544849183507566,0.030560439280977517
1,1,10000,0.0206523466946225,0.010327462091976405
1,2,10000,-0.09809501714388019,1.765514994157926
2,0,10000,0.7965299966474776,-0.006707239640498745
2,1,10000,1.9863128982738332,-0.08471011041353456
2,2,10000,-0.24878516149769975,2.8385545105436414
0,0,11000,1.2830332167058534,1.7877535589312719
0,1,11000,0.09648948249920924,0.17349318447718626
0,2,11000,-0.020448274459497612,-0.1809793817867366
1,0,11000,0.014267132441508084,-0.10949692490382286
1,1,11000,0.48298762898721115,-0.47593185068436966
1,2,11000,0.08249614358234363,1.0739424603244523
2,0,11000,0.0960594108507302,-0.009737004308413467
2,1,11000,-0.046212380210460896,0.0006449578333090098
2,2,11000,0.8303054128901256,0.8283328004050866
0,0,12000,2.858978307701527,0.22471771371315283
0,1,12000,0.04791845548627173,-0.04482935852199538
0,2,12000,-0.18289009919315352,1.7834522700732864
1,0,12000,-0.1365845194859848,0.0606160252056022
1,1,12000,-0.5315297915314041,0.6501160011338072
1,2,12000,-0.037330122933495184,0.4078337854886824
2,0,12000,0.5631585686267584,-0.11656068431881642
2,1,12000,0.8824310947079248,0.016857690749834422
2,2,12000,0.18113965110790237,-0.05103979796407578
0,0,13000,0.07562359339618847,0.006666827274886376
0,1,13000,0.15595603969088392,-0.0734963743800438
0,2,13000,0.05396508883679422,1.2942361587523747
1,0,13000,0.008007906966094222,-0.02517651708426855
1,1,13000,-0.1453465736075645,0.007364709892834174
1,2,13000,-0.17183611261174295,1.7943589144678593
2,0,13000,1.8330515924826307,0.07277557452713672
2,1,13000,1.3047386845390252,-0.0010807900344492697
2,2,13000,1.0060056244794882,1.7058321713008668
0,0,14000,-0.25825945020705976,0.06927057271830732
0,1,14000,-0.23321690129916586,0.13711847270202948
0,2,14000,0.04679825427022821,0.3173020841630134
1,0,14000,-0.03812487919648755,-0.03694774496428744
1,1,14000,2.7864326543532734,0.31689590024214825
1,2,14000,0.14642885885374582,1.9324857562936149
2,0,14000,1.8775747457189538,0.026232886792330025
2,1,14000,1.3346019481796483,0.015440484279256837
2,2,14000,0.15732545371594642,1.4612751655503582
0,0,15000,-0.30112517907780445,0.43944786276851
0,1,15000,-0.06401363262086629,-0.11106027602729943
0,2,15000,0.21641463489105375,0.3314627423669935
1,0,15000,0.10955707099529173,-0.13747264995568922
1,1,15000,-0.38530047431993597,0.29211687777116924
1,2,15000,-0.09426329452773961,1.171498524584931
2,0,15000,1.4965290971699898,-0.036122501829272964
2,1,15000,1.223363472289852,-0.03549874922346625
2,2,15000,0.896229986092249,0.24925306898906285
0,0,16000,-0.04196001294726466,0.1703936161087922
0,1,16000,0.08413511925879155,0.005120914778089534
0,2,16000,-0.008843637539308998,-0.031340177577566186
1,0,16000,0.15839550815477463,-0.18612985041545085
1,1,16000,1.1755591256883509,1.9159783480475334
1,2,16000,0.0683868567957723,0.5778557452006582
2,0,16000,1.142967072059216,0.2652205981706344
2,1,16000,1.8911911766680016,-0.18893218204246096
2,2,16000,0.2600043713497421,1.346702915346578
0,0,17000,-0.03202226892957684,0.06888698903423554
0,1,17000,0.038629197624072846,-0.07915524245153616
0,2,17000,-0.04921447740551119,0.7023627274853945
1,0,17000,0.03146405468776528,-0.10718752559053724
1,1,17000,1.626995884689408,1.4709654061725508
1,2,17000,0.04553058518275965,1.1696620344843822
2,0,17000,1.4131465631075053,0.039578670926844146
2,1,17000,0.931551604393997,0.08335191834067447
2,2,17000,0.5081681862127368,1.2395585512057452
0,0,18000,0.01807196201739562,0.024048846286789057
0,1,18000,0.02472897893203827,0.017758579167901883
0,2,18000,0.12577918083047263,0.20835102434108527
1,0,18000,0.041497353057980184,-0.005109077959851143
1,1,18000,0.23795346712201773,-0.24496808096566283
1,2,18000,0.14889810884470267,1.1067272877531795
2,0,18000,1.9306083516700567,0.07506724916686698
2,1,18000,-0.033217088542566144,0.1177476996301796
2,2,18000,0.5477643531627865,0.5608597886862281
0,0,19000,1.0756879520314404,1.8950691729939722
0,1,19000,0.07513882158299047,0.006814554444829921
0,2,19000,0.1217259010098396,0.13571632460174665
1,0,19000,0.10995294716147369,0.0637370142203481
1,1,19000,-0.20531103871682055,0.016237044482885588
1,2,19000,0.08207203386661525,1.0551292160598837
2,0,19000,1.0349354585960906,0.2002321713136832
2,1,19000,1.3130889416223304,-0.027292227331605662
2,2,19000,0.5079547221355164,0.9583510551237775
0,0,20000,0.011865060082788906,0.10486134732958612
0,1,20000,-0.034111598337347095,0.14244546709468114
0,2,20000,0.14014939835988116,1.0289452877850247
1,0,20000,0.027451671576203956,-0.030817254154311517
