Gate_1,Gate_2,Delay,Fidelity,θ1,θ2,θ3,θ4,θ5,θ6
0,0,0,0.892776369618705,0.8877070193708166,0.2560931587293193,0.5930153861456178,0.6446970051746017,0.2762417723085894,1.0474889544688304
0,1,0,0.9097844903686702,0.49411015900098715,1.757478463836554,1.089831264020187,1.1148714812040477,1.0842992842382724,0.37480268822564744
0,2,0,0.9071633091582585,0.21738002838959095,0.03969528460574498,0.08585079495952648,0.4218581893481534,0.021348155996377117,0.35923507291287776
1,0,0,0.8884522530114324,1.9233593938669,1.6707420881376347,0.6654032816721676,0.8303271358101237,0.9515595019637325,-0.056620105077147494
1,1,0,0.8952186060308565,0.5044657264161493,0.5541246011403919,0.7994666716638431,1.009353058904828,0.44496267118703614,1.0913428542561312
1,2,0,0.9032366889135566,2.50056878833615,0.1221973275543639,2.0384072575820578,0.35203728606483103,0.05072338914775621,1.5737033078624447
2,0,0,0.9355060701372614,0.921125736159435,0.016481244106492737,1.225404545186323,0.8752070564933679,0.6300133968290816,0.42031181402465434
2,1,0,0.9191241311082607,0.7122775309608186,0.7120378079720314,0.1319547913404494,1.1051815359468238,0.8137647058813008,0.7934813461197869
2,2,0,0.915435779476334,-0.32215510543138154,-0.0786154668013849,2.1612429997851534,0.43438376518883676,0.37567454769606135,-0.02646012440209731
0,0,1000,0.8694841350770341,0.14783399541985948,1.9248272513964808,0.39037932770700184,0.726893008866105,0.9998179578341525,1.6261171026734673
0,1,1000,0.8703923231776035,1.7890179376157225,1.0721692057342842,0.5165849379411288,0.43598960870810355,0.36648769168406653,0.7603494397065581
0,2,1000,0.8565625223627129,1.657113567539901,0.271030070981301,1.9946655358119574,0.6487839455765225,0.7774320829596413,0.5535796577829358
1,0,1000,0.8621640635685778,1.2956392772268879,0.6621741028103472,0.7967702454038749,0.31463999314089874,0.6222593315455389,1.2807596973514221
1,1,1000,0.8818734955385172,1.3349204635486598,0.5953640448087505,0.8815734886665684,1.682401627061221,0.02485964209173152,1.5622199654628126
1,2,1000,0.893137663500233,0.9435952346079428,0.41258980310754595,0.3052246508340536,0.0952859712019181,1.6960850391046247,0.0938420802295759
2,0,1000,0.87324026358836,0.20153394984333786,0.29227848702441855,0.1564108765302213,-0.22418268083385934,-0.35738016695632663,-0.3204552796826648
2,1,1000,0.9066400489871619,0.6266023686373238,1.0508655664041913,0.5851875043966288,-0.04768057550494766,-1.275990283847703,-0.01505283880953801
