Gate_1,Gate_2,Delay,Fidelity,θ1,θ2,θ3,θ4,θ5,θ1',θ2',θ3',θ4',θ5'
0,0,0,0.900564760245285,-0.04493952589275204,-0.08512663062264746,0.2742784231140939,-0.350012094205779,-0.4107248806115572,0.25067516937347095,0.21846581395600154,-0.08931136447649053,0.29223832974019387,0.35788559889749094
0,1,0,0.9067463963968266,-0.12793630809221873,-0.04752593979523856,-0.12781136335316834,-0.0915371321411581,0.02727265428407147,0.1541618960738967,-0.05943949521281341,-0.06562376756116708,0.04386907088852537,-0.13792092438515025
0,2,0,0.8973412928510317,-0.12893002543412294,0.028953681793768456,0.1113112813622931,0.16500550142440998,0.190267503024936,0.9695488334324573,0.9368659117621694,1.0197560097037988,0.7223413151981842,0.5553464677032406
1,0,0,0.8303218951534287,0.1686286429991119,0.0029866008519263717,0.3043273661080264,-0.13349511566606678,0.08137251059314053,-0.02769330444482972,-0.07248663908423983,0.05741830790461584,-0.38166209292079395,-0.009660308723062635
1,1,0,0.899112777836792,-0.5711087874112399,0.08448756015790307,-0.39071962429408763,-0.8257202701166754,-0.7379557873208854,0.5646796459380793,0.024819487912830313,0.3216451846400696,0.785424470782444,0.6901337637529403
1,2,0,0.9103061661081082,0.23709965528353585,0.09718814049805746,0.022622144617227974,-0.13081606666008325,-0.09780401900979192,0.8621160885325891,0.34807378393126764,0.7621636224048948,1.1225050974948825,0.6393520703379686
2,0,0,0.8640904549245075,1.0536278787035336,0.24105269244922437,0.5636904474585256,2.0031683767606037,1.6300448097260558,0.30049540904107325,0.3678197104791748,-0.19224627658760188,0.09986669192018376,0.06968880344365803
2,1,0,0.8964811766359535,0.0053807516343923134,0.658801849994495,-0.13606599648772108,0.19723172163283648,1.1845451889185,-0.18113902298766785,0.15943822182385226,-0.11793897470486243,-0.09234366697891584,-0.1336582154774239
2,2,0,0.9510763865324688,0.17261876892605119,0.9455459205491473,0.02827671409473762,0.03088485646605581,0.5354043940359914,1.2025777604463974,0.9887807325369141,0.8767579341966626,0.2687192288230344,0.510321791199863
0,0,1000,0.894480515677133,0.08372422506721776,0.08608993569414307,0.3850412987551189,-0.059203290578384825,-0.019675201153623072,0.036756325986402244,-0.2368459780840673,-0.3401834761812284,0.028600450114787422,-0.09619344322043459
0,1,1000,0.8397480235321867,-0.19796337645189105,0.052493098628543795,0.13155991376969603,0.03936181591045598,0.08449841390978509,0.056231732505491995,0.123308898712273,-0.3176025077286616,-0.12513762952204707,0.17044565098968814
0,2,1000,0.8699935138852564,-0.0683157405342502,0.024684787457645727,0.1770736671747108,0.05884100304017992,0.32243193195864206,1.372430034447578,0.5992916653422198,-0.31412658061299714,1.409840461490046,0.41805312242408615
1,0,1000,0.8538879591503803,0.016111613248478512,0.006794179758399097,0.005389380513169853,-0.08660648664593962,-0.12601834604966647,-0.037198442757957355,0.05048566940039935,-0.012291303138930123,-0.24768602252510052,0.20121032087234858
1,1,1000,0.8845625749060056,-0.4137403564993998,0.7541669415793857,0.010153530126480667,-0.11030122413728062,0.2442673513473093,0.3432831866156395,-0.6521913691085357,-0.25320894833068297,0.13183545705419464,-0.2627700159243464
1,2,1000,0.8671511133856016,0.042308103210993486,-0.15629316439679902,-0.02072012139819132,0.24034714497446458,0.039862522422147134,1.625656352175698,0.6453497898846026,0.2968720220395231,0.38849735742866814,0.2829874926117662
2,0,1000,0.8553499571878173,0.910448134989763,0.7315346630154232,0.623903394387485,0.81117616369347,1.1685102437487895,-0.25843080829892434,0.1394194791657848,0.32287893984877897,-0.10008435835579922,0.07696640881327936
2,1,1000,0.8915943186884417,1.5278015079013896,2.1477686035417047,0.22332112754216957,0.7458668154305587,0.26459895299389785,0.07158281020529747,-0.03168884175577831,-0.025591139859024115,-0.08508289871374142,0.1593420275140508
2,2,1000,0.9000148994372936,1.3684791548719415,0.12557852732225894,0.10033369153445948,0.5918206151905948,0.34850304517896186,0.28818016253498185,0.9598168171950809,0.5054036350980513,1.715922950904749,0.9208006234192567
0,0,2000,0.8061044038808775,0.7133572155775377,0.32971017070263625,-0.21455143927798614,-0.13963995271434015,0.12431658719499428,-0.608235959842548,-0.6293044842852548,0.38417603370015085,-0.1831259258284164,0.05424872006842851
0,1,2000,0.824068996901376,-0.012239510523560183,-0.04078310068321399,-0.07117345608592339,0.11046268671555647,0.008085058578813066,0.2964318056554842,0.07122783617848848,0.18773061914984912,0.09994166190018557,-0.1926397094322075
0,2,2000,0.8373300523391644,0.22627965008785306,0.16498079744218447,0.029470553738898987,0.23537288053836875,-0.005505267028641876,-0.2576982790707809,0.8493593183057874,1.748405517579072,0.1937666962841245,0.35497467953598566
1,0,2000,0.8472812214814046,0.13864288101681593,-0.05917711977867681,-0.19697747043602531,-0.09983716887698667,0.08039883536483815,0.0013738000605588523,-0.04538762949596488,-0.0484980662573957,-0.10115787330848139,-0.08264145332367757
1,1,2000,0.8150754547505266,0.035694451440450164,0.1165774511269533,-0.4072828855700194,0.2587054891157494,0.07152329678396088,-0.10077968337870521,-0.396720013126195,0.5671866516899388,-0.4894607712438347,0.04564226398132778
1,2,2000,0.8552674383174826,0.050612100960167626,-0.0770575737261036,-0.026040651619323323,-0.07634504025876147,0.016227837121715525,-0.191924873567598,0.39677646981464443,-0.14546437043202498,0.44006059740399106,0.011754301343697348
2,0,2000,0.86085357962635,1.711139414836766,1.9054291969639017,1.1138678894803127,0.39829395008862256,0.6904204584231017,0.12587652776271135,-0.02886567659598103,0.1700754530995504,-0.26500267130309185,-0.013394583484624157
2,1,2000,0.8679191309217288,-0.011864622993009954,0.43872911646215107,0.5784625877604737,0.1253725801931356,0.20910175511309653,0.23029663705874776,-0.023462596848316544,0.06506241704882561,0.022260836804199217,0.11747491419882009
